ID	ZT_0_REP_1	ZT_0_REP_2	ZT_0_REP_3	ZT_4_REP_1	ZT_4_REP_2	ZT_4_REP_3	ZT_8_REP_1	ZT_8_REP_2	ZT_8_REP_3	ZT_12_REP_1	ZT_12_REP_2	ZT_12_REP_3	ZT_16_REP_1	ZT_16_REP_2	ZT_16_REP_3	ZT_20_REP_1	ZT_20_REP_2	ZT_20_REP_3
Celrr	1.50443	1.55711	1.1834	0.968154	0.826157	0.718461	1.5399	0.660086	1.58505	1.09987	0.87679	1.00241	1.24358	0.867114	1.0359	1.47249	0.864794	1.36747
Celsr1	0.767901	0.805632	0.61481	0.503734	0.326854	0.599741	0.545917	0.461485	0.425197	0.42406	0.636933	0.636028	0.589668	0.548933	0.520073	0.418071	0.650894	0.624809
Celsr2	14.493	14.6799	15.5552	18.523	10.6839	15.3367	15.9508	14.6416	17.0015	12.579	17.2312	17.5808	14.6936	17.8597	15.7743	15.9975	17.8033	16.8134
Celsr3	4.76443	9.37229	11.1843	6.3243	5.66362	8.62904	8.0897	8.12568	7.2223	5.25284	9.85494	9.5101	7.08394	7.37295	8.00152	9.00937	8.93278	7.76817
Cemip	0.596291	0.729608	1.03062	0.696562	0.47264	0.702779	0.627572	1.06215	0.835499	0.59108	0.793827	0.790679	0.974848	0.914811	0.923908	0.468084	0.834556	0.883021
Cend1	144.838	129.353	123.876	160.631	197.87	161.053	143.801	174.41	130.318	161.964	142.961	150.372	146.824	183.152	165.74	146.448	124.894	129.92
Cenpa	0.461255	0.293815	0.386553	0.406815	0.276855	0.367508	0.33436	0.36499	0.197004	0.380673	0.268816	0.244109	0.219752	0.282903	0.294526	0.422416	0.26189	0.21745
Cenpb	48.4816	46.4396	41.5073	46.0341	38.1605	45.0594	48.1605	52.5061	55.5312	60.8865	43.5327	46.6477	42.3053	33.3979	41.912	46.8134	38.5145	47.1145
Cenpc1	6.63178	7.50354	7.58112	8.06291	7.80272	8.37754	7.63778	7.64978	7.04029	7.50217	8.60598	7.67159	7.67549	9.28525	8.72852	8.07623	8.86997	7.78437
Cenpe	0.0360968	0.0755493	0.0704701	0.117924	0.100588	0.073054	0.0323115	0.109275	0.129686	0.0934167	0.0617218	0.0944689	0.0943469	0.0588671	0.0574275	0.106927	0.0787607	0.0863907
Cenpf	0.167132	0.144025	0.127765	0.145953	0.116707	0.124471	0.138137	0.0784201	0.124986	0.108885	0.134592	0.112216	0.102688	0.115796	0.149305	0.154191	0.152496	0.172193
Cenph	0.155884	0.157752	0.083472	0.198411	0.124111	0.159067	0.282699	0.158278	0.312027	0.377224	0.261106	0.244778	0.410861	0.290534	0.258783	0.23748	0.126071	0.399727
Cenpi	0.0871161	0.0561018	0.0862001	0.0835884	0.18674	0.110095	0.0523493	0.111136	0.122787	0.109733	0.0982163	0.0736589	0.0363675	0.0971431	0.100124	0.0759079	0.109071	0.153325
Cenpj	0.655493	0.691725	0.536823	0.554576	0.528025	0.503626	0.559411	0.430655	0.469021	0.559844	0.686219	0.877926	0.711393	0.658758	0.649252	0.631468	0.584699	0.553692
Cenpk	0.415753	0.34696	0.411363	0.308377	0.51161	0.342109	0.350772	0.449908	0.34036	0.436024	0.324113	0.430545	0.589958	0.812025	0.29082	0.355334	0.42366	0.471335
Cenpl	0.518657	0.579432	0.442134	0.713663	0.655557	0.548674	0.460739	0.6239	0.575937	0.535464	0.699561	0.703617	0.668063	0.774492	0.482718	0.409542	0.613431	0.601519
Cenpm	0.553745	0.548905	0.626806	0.390683	0.514312	0.612543	0.463899	0.856598	0.521833	0.70326	0.456511	0.489227	0.446705	0.401267	0.511023	0.492219	0.244815	0.310533
Cenpn	0.617261	0.719301	0.674827	0.589242	0.769932	0.598372	0.559707	0.615133	0.744495	0.672168	0.441566	0.553862	0.460955	0.532611	0.561153	0.796692	0.520007	0.633125
Cenpo	5.059	6.03467	5.31642	6.1496	6.15105	6.29813	5.632	5.24097	4.95155	5.70368	5.1675	4.99321	5.1213	5.90136	5.42591	4.49579	4.95483	4.53046
Cenpp	0.733425	0.839675	0.585459	0.750266	1.15056	1.20299	0.822299	1.00824	1.11255	1.18102	1.25408	0.874413	0.801867	0.630032	0.789158	0.675913	0.67279	0.706999
Cenpq	3.29094	2.8138	2.31726	2.7996	3.87547	2.3507	2.50555	2.40804	2.8256	3.44346	2.30264	2.17508	2.96725	2.73567	2.03716	2.79238	2.72356	2.85346
Cenpt	5.17656	6.24111	5.70526	5.56865	7.75345	7.76283	5.88788	6.31787	5.15142	6.06171	5.74405	5.55373	5.46719	5.92645	6.16445	6.10318	5.54684	5.30583
Cenpu	0.101404	0.169788	0.228057	0.126487	0.180847	0.20281	0.0990219	0.136137	0.153013	0.137417	0.178344	0.15923	0.093544	0.146996	0.134673	0.162207	0.179397	0.136513
Cenpv	13.1613	14.2456	12.3331	11.875	15.3834	14.0518	11.7381	12.0857	10.5866	11.2807	11.1128	11.6004	12.7315	11.2939	12.241	10.9542	12.1884	12.1617
Cenpw	0.58052	0.702381	0.593447	0.45453	0.666679	0.439793	0.618418	0.639049	0.47401	0.47678	0.592998	0.635333	0.600434	0.612019	0.496462	0.703488	0.236525	0.647315
Cep104	5.35648	5.77	6.40364	6.46075	5.50488	6.84222	6.38169	7.14643	6.37636	6.38177	6.91026	7.5676	7.80421	7.94324	6.74972	6.99437	6.71525	7.23116
Cep112	1.15112	1.04026	1.21033	1.02235	1.28322	1.50711	0.916843	1.22903	1.31978	1.39666	1.27964	0.74486	1.31352	1.23646	1.27006	1.28199	1.71656	1.24678
Cep120	11.9275	12.2051	13.2743	13.4469	13.383	14.32	12.1873	13.1706	12.6343	12.414	15.162	13.7431	14.2918	17.0613	14.6387	12.9442	14.9433	14.3534
Cep126	3.40819	3.79809	3.17503	2.80529	2.58207	2.97649	3.30213	3.60621	2.72635	2.72499	3.67317	3.78384	3.51859	3.89357	3.74065	3.17665	3.92391	3.60844
Cep128	0.895689	1.03186	0.816018	0.820198	0.560198	0.803286	0.709438	0.683766	0.756221	0.828859	0.787646	1.01578	0.844624	0.645593	0.826074	0.667733	0.982447	0.964645
Cep131	5.37333	8.13689	7.53059	6.54267	7.80659	9.59777	6.64015	7.3281	6.36256	6.84667	7.64132	6.50681	6.06601	7.20824	7.37529	6.63447	7.82122	6.38327
Cep135	1.17416	1.61331	1.72182	1.45741	1.40368	1.62618	1.33038	1.46521	1.26553	1.33356	1.65848	1.74522	1.3188	1.58189	1.52144	1.78819	1.64277	1.63298
Cep152	0.308649	0.604249	0.574601	0.447327	0.49082	0.602607	0.450088	0.474493	0.470169	0.55536	0.579024	0.681752	0.573246	0.453385	0.587537	0.610746	0.541671	0.668514
Cep162	1.60589	1.79894	2.03597	1.79551	1.35377	1.7897	1.86247	1.48845	1.43511	1.49856	2.08333	1.81884	1.87978	2.09969	1.71382	2.05472	2.04681	1.95803
Cep164	2.03252	3.61697	3.42347	2.35534	2.98045	3.50107	2.82693	2.65239	2.41489	2.39562	3.5315	3.33108	2.33872	2.61654	2.62237	2.83068	2.77543	2.64873
Cep170	12.1163	11.5332	14.0713	14.0975	10.2125	12.6197	12.2239	12.4014	11.269	9.88159	15.3861	13.4276	12.9699	17.6182	13.6054	14.4665	15.9224	14.665
